#This document should be used as the master list, it reflects the most up to date information.
#In this document, obsids are unique and correspond to a unique directory containing data products in /x-ray
#delimiter = "  "
# CXOname, 	      OBSID,      specObjID, 	    RA, 	DEC, 	Z, 		nH,      Counts
2CXO J145638.9+222130  543b  2420780807766435840  224.16308  22.358736  0.12533180  0.03180000  NO MATCH
2CXO J081458.3+365325  3437  1004457787939383296  123.74274  36.890454  0.10906110  0.04680000  13
2CXO J081048.3+422038  13986  614877450693797888  122.70072  42.344541  0.06264777  0.04240000  16
2CXO J090313.0+032928  15373  637378681831974912  135.80433  3.4914355  0.19358870  0.03770000  29
2CXO J081013.0+345137  20547  1004318699718469632  122.55423  34.860239  0.08313890  0.04180000  87
2CXO J104429.3+113810  21001  1802684275493988352  161.12194  11.636486  0.22977630  0.02280000  NO MATCH
2CXO J090630.7+350652  10573  1364626466570004480  136.62781  35.114683  0.25524630  0.02200000  NO MATCH
2CXO J132031.0+330608  2231  2356517365170071552  200.12963  33.102398  0.22907950  0.01380000  NO MATCH
2CXO J122442.1+125112  20541  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J121742.0+034630  4184  950315086608623616  184.42496  3.7752944  0.08017824  0.01650000  NO MATCH
2CXO J133518.3+405949  22136  1648345553022511104  203.8266  40.997259  0.24169050  0.00907000  131
2CXO J112314.9+431208  23165  1536886134682970112  170.81206  43.202443  0.08044241  0.02670000  55
2CXO J123101.3+102859  12254  1387242321711491072  187.75512  10.483507  0.10602980  0.02210000  NO MATCH
2CXO J120746.1+430736  1578  1632651949167896576  181.94214  43.126354  0.00339762  0.01320000  NO MATCH
2CXO J111816.6+074323  10795  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  NO MATCH
2CXO J111816.6+074323  10796  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  NO MATCH
2CXO J141631.9+231906  2024  2395971965241288704  214.13328  23.318561  0.13645030  0.01940000  NO MATCH
2CXO J111816.6+074323  11857  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  188
2CXO J111816.6+074323  12093  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  NO MATCH
2CXO J111816.6+074323  12094  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  112
2CXO J121157.0+273839  5767  2509768120567097344  182.9867  27.643213  0.01357674  0.01730000  NO MATCH
2CXO J111816.6+074323  10730  1820707470046160896  169.56912  7.723292  0.22561070  0.03200000  NO MATCH
2CXO J143525.3+330520  7771  2072932145281656832  218.85526  33.089242  0.19954750  0.00885000  78
2CXO J131659.3+035319  13861  958201058847385600  199.24738  3.8888483  0.04586166  0.01930000  NO MATCH
2CXO J090714.4+520343  14965  622679856626296832  136.81019  52.062063  0.05982868  0.01510000  170
2CXO J105842.5+314459  14966  2281077946447849472  164.6774  31.749934  0.07263233  0.02570000  141
2CXO J112422.6+213132  19768  2810278398289537024  171.09416  21.525566  0.18937660  0.01370000  70
2CXO J155207.7+200952  3214  2445543454193772544  238.03222  20.164616  0.29689910  0.03900000  28
2CXO J102000.1+081334  7808  1393936149004707840  155.00088  8.226057  0.04918021  0.02170000  NO MATCH
2CXO J114642.5+511029  12751  991984103232399360  176.67697  51.174894  0.13022530  0.01210000  63
2CXO J122442.1+125112  21852  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J114409.3+462238  2200  1625813535491647488  176.03939  46.377123  0.11367310  0.02580000  NO MATCH
2CXO J114338.4+462403  2200b  1625825630119553024  175.91005  46.400886  0.11588670  0.02640000  NO MATCH
2CXO J010101.1-002444  8259  445941880606189568  15.254629  -0.41232818  0.09695129  0.03070000  NO MATCH
2CXO J233752.7+002421  11728  433577598497351680  354.46973  0.40597125  0.08972833  0.03690000  21
2CXO J233731.7+002600  11728b  767999293637289984  354.38245  0.43322609  0.31412070  0.03670000  112
2CXO J235720.1-005829  6128  771318164083468288  359.33389  -0.97499552  0.33930230  0.03050000  193
2CXO J092458.9+022519  5604  534895947205863424  141.24511  2.42213  0.07197814  0.03610000  NO MATCH
2CXO J114528.8+494510  9253  1088896711868311552  176.37  49.753001  0.16230350  0.01470000  NO MATCH
2CXO J155207.7+200952  10242  2445543454193772544  238.03222  20.164616  0.29689910  0.03900000  NO MATCH
2CXO J091201.6+532036  8254  623826647270844416  138.007  53.343501  0.10204420  0.01690000  125
2CXO J111703.5+174440  4933  2808098616420362240  169.26491  17.744716  0.09239659  0.01120000  131
2CXO J113752.1+031613  7759  577733195504576512  174.46746  3.2704273  0.23518710  0.01850000  105
2CXO J111519.9+542316  13902  1140644403187050496  168.83324  54.38796  0.07082787  0.00775000  1449
2CXO J130729.0+455828  15032  1642718252947761152  196.87149  45.974292  0.20841080  0.01190000  101
2CXO J235720.1-005829  6129  771318164083468288  359.33389  -0.97499552  0.33930230  0.03050000  156
2CXO J141604.8+131257  7875  1920828729530017792  214.02027  13.21561  0.07460856  0.01600000  81
2CXO J133518.3+405949  3591  1648345553022511104  203.8266  40.997259  0.24169050  0.00907000  NO MATCH
2CXO J133518.3+405949  20590  1648345553022511104  203.8266  40.997259  0.24169050  0.00907000  489
2CXO J133518.3+405949  22137  1648345553022511104  203.8266  40.997259  0.24169050  0.00907000  NO MATCH
2CXO J103014.4+431521  7910  1608947026047821824  157.56025  43.256131  0.09864403  0.01070000  47
2CXO J135035.8+094222  14021  2033482218973718528  207.64961  9.7060523  0.06362286  0.02130000  310
2CXO J135047.5+093552  14021b  2033480019950462976  207.69831  9.5979249  0.06583861  0.02110000  29
2CXO J112659.5+294442  13955  2496254297541470208  171.74808  29.745218  0.10208630  0.01520000  53
2CXO J014209.0-005050  13959  451521351891576832  25.537599  -0.8472324  0.13279150  0.02480000  749
2CXO J144804.1+182537  13954  3126745063984490496  222.01738  18.427194  0.03804268  0.02800000  46
2CXO J083835.8+441351  15378  858089148332926976  129.64932  44.232396  0.14377470  0.02580000  27
2CXO J114354.6+054908  15380  943669913208252416  175.97755  5.8189558  0.10894850  0.01960000  NO MATCH
2CXO J082712.2+360347  15381  930163236102236160  126.80096  36.063063  0.14356910  0.04280000  87
2CXO J082657.0+360659  15381b  930162961224329216  126.73814  36.116429  0.13957990  0.04360000  58
2CXO J125412.0+273733  15024  2523226698233702400  193.55005  27.626096  0.08602050  0.00990000  141
2CXO J094739.8+072036  7265  1389371800739145728  146.91589  7.3437259  0.12870130  0.02000000  NO MATCH
2CXO J112026.6+431519  5771  1535728074044237824  170.11104  43.25514  0.14609400  0.02510000  97
2CXO J122959.5+133105  12209  1818454571626817536  187.49774  13.518277  0.09879434  0.02090000  268
2CXO J112314.9+431208  22720  1536886134682970112  170.81206  43.202443  0.08044241  0.02670000  78
2CXO J122442.1+125112  22196  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J122442.1+125112  22142  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J122442.1+125112  22153  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J092458.9+022519  11563  534895947205863424  141.24511  2.42213  0.07197814  0.03610000  128
2CXO J132422.8+304714  9840  2368901440082044928  201.09517  30.787484  0.09230541  0.01280000  NO MATCH
2CXO J092458.9+022519  11562  534895947205863424  141.24511  2.42213  0.07197814  0.03610000  NO MATCH
2CXO J092458.9+022519  11566  534895947205863424  141.24511  2.42213  0.07197814  0.03610000  NO MATCH
2CXO J092458.9+022519  11565  534895947205863424  141.24511  2.42213  0.07197814  0.03610000  NO MATCH
2CXO J092458.9+022519  11564  534895947205863424  141.24511  2.42213  0.07197814  0.03610000  NO MATCH
2CXO J102025.7+253402  5792  2645903052275476480  155.10729  25.567195  0.19149960  0.01750000  53
2CXO J084122.9+322835  8500  1361350196310599680  130.34562  32.476336  0.06685156  0.03020000  65
2CXO J084102.6+321447  8500b  1361261685624563712  130.2608  32.246663  0.10564220  0.03360000  65
2CXO J111547.4+502405  15021  988577815957891072  168.94777  50.401558  0.04750803  0.01230000  1090
2CXO J122442.1+125112  22113  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J142916.8+335641  10450  2072870022874687488  217.31999  33.944822  0.13050250  0.01080000  NO MATCH
2CXO J122442.1+125112  22143  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J133518.3+405949  22130  1648345553022511104  203.8266  40.997259  0.24169050  0.00907000  NO MATCH
2CXO J122442.1+125112  22127  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J143217.7+343748  19776  1852157351897884672  218.07384  34.629969  0.37402710  0.01090000  NO MATCH
2CXO J081145.3+232825  13969  1783581357587326976  122.93876  23.473812  0.01600616  0.04670000  69
2CXO J122442.1+125112  21867  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
